Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,37,ModelResultImpl,2436,2759,6376,9,6367,74,141,11,0,0,1118,0,1,2179,3217,965,20,22,0,0,581,2334,344,0
1,38,ModelResultImpl,2436,2526,7310,12,7301,69,150,9,0,0,1283,0,2,2284,3611,1042,20,17,0,0,780,2753,315,0
1,39,ModelResultImpl,2436,2152,6745,12,6737,69,132,8,0,0,1229,0,1,2336,3335,978,15,17,0,0,670,2522,271,0
1,40,ModelResultImpl,2436,2439,6258,12,6249,76,139,10,0,0,1069,0,3,1881,3154,917,9,16,0,0,609,2181,307,0
1,41,ModelResultImpl,2436,2454,6898,10,6891,61,146,9,0,0,1181,0,1,2389,3492,983,9,17,0,0,718,2672,311,0
1,42,ModelResultImpl,2436,2155,6061,16,6054,63,125,8,0,0,1050,0,1,1936,2960,869,13,13,0,0,679,2282,299,0
1,43,ModelResultImpl,2436,2235,7792,11,7784,84,159,10,0,0,1516,0,2,2384,3754,1110,18,16,0,0,783,2762,317,0
1,44,ModelResultImpl,2436,2262,7389,10,7381,59,151,9,0,0,1355,0,1,2568,3683,1077,11,13,0,0,726,2787,326,0
1,45,ModelResultImpl,2436,2134,6916,14,6907,61,138,9,0,0,1213,0,1,2418,3442,1042,12,16,0,0,692,2665,309,0
1,46,ModelResultImpl,2436,2247,6803,12,6797,58,143,10,0,0,1100,0,1,2210,3441,1038,14,13,0,0,693,2473,354,0
1,47,ModelResultImpl,2436,2271,6398,14,6388,70,130,8,0,0,1017,0,1,2306,3291,958,9,17,0,0,639,2565,286,0
1,48,ModelResultImpl,2436,2183,8123,14,8113,61,166,11,0,0,1503,0,4,2742,4049,1172,12,16,0,0,807,2943,364,0
1,49,ModelResultImpl,2436,2124,7114,12,7106,63,143,7,0,0,1210,0,1,2431,3628,1080,9,14,0,0,661,2656,267,0
1,50,ModelResultImpl,2436,2253,6152,12,6143,66,125,7,0,0,1022,0,1,2244,3176,909,15,14,0,0,572,2439,278,0
1,51,ModelResultImpl,2436,2103,5803,17,5794,65,124,8,0,0,1069,0,2,1785,2859,774,13,15,0,0,625,2274,286,0
1,52,ModelResultImpl,2436,2406,6811,13,6802,69,142,9,0,0,1175,0,3,1929,3392,976,15,21,0,0,716,2489,294,0
1,53,ModelResultImpl,2436,2198,6228,13,6215,62,126,8,0,0,1074,0,1,2108,3152,861,9,14,0,0,647,2452,310,0
1,54,ModelResultImpl,2436,2150,9054,11,9048,61,176,8,0,0,1935,0,1,2887,4385,1240,12,15,0,0,827,3257,288,0
1,55,ModelResultImpl,2436,2198,6914,13,6906,68,149,9,0,0,1142,0,2,2065,3549,1022,10,14,0,0,670,2623,285,0
1,56,ModelResultImpl,2436,2109,6268,14,6258,63,134,9,0,0,996,0,1,2342,3264,946,9,14,0,0,600,2475,332,0
1,57,ModelResultImpl,2436,2147,6410,12,6402,64,131,8,0,0,1071,0,2,2394,3283,951,13,16,0,0,606,2533,274,0
1,58,ModelResultImpl,2436,2146,5775,14,5765,62,121,8,0,0,978,0,1,1536,2906,795,11,13,0,0,624,2300,299,0
1,59,ModelResultImpl,2436,2238,6474,15,6467,79,138,10,0,0,1070,0,1,2337,3330,961,19,23,0,0,603,2466,337,0
1,60,ModelResultImpl,2436,2065,8370,11,8364,58,172,8,0,0,1658,0,1,2839,4219,1119,10,13,0,0,760,3179,290,0
1,61,ModelResultImpl,2436,2060,6616,12,6606,61,139,10,0,0,1278,0,1,2189,3266,910,10,12,0,0,664,2548,342,0
1,62,ModelResultImpl,2436,2184,6687,13,6678,77,142,10,0,0,1227,0,1,2258,3362,950,9,16,0,0,638,2466,316,0
1,63,ModelResultImpl,2436,2054,7579,14,7571,60,153,10,0,0,1369,0,1,2484,3740,1095,10,17,0,0,787,2860,357,0
1,64,ModelResultImpl,2436,2129,6559,15,6549,67,135,8,0,0,1134,0,1,1896,3291,896,12,17,0,0,712,2568,297,0
1,65,ModelResultImpl,2436,2099,7535,11,7528,60,155,10,0,0,1355,0,2,2327,3756,1125,12,14,0,0,752,2728,350,0
1,66,ModelResultImpl,2436,2138,6999,12,6991,58,139,9,0,0,1210,0,1,2420,3522,1054,11,18,0,0,689,2657,302,0
1,67,ModelResultImpl,2436,2066,6193,9,6183,58,132,8,0,0,1087,0,1,1754,3093,853,12,13,0,0,660,2460,305,0
1,68,ModelResultImpl,2436,2173,7889,13,7882,75,158,10,0,0,1410,0,1,2768,3911,1151,9,16,0,0,802,2934,356,0
1,69,ModelResultImpl,2436,2277,6903,13,6894,74,144,9,0,0,1134,0,1,2230,3498,1035,13,14,0,0,705,2608,311,0
1,70,ModelResultImpl,2436,2115,7746,13,7738,94,151,7,0,0,1379,0,1,2873,3963,1137,18,22,0,0,642,3069,252,0
1,71,ModelResultImpl,2436,2176,7486,11,7479,71,154,10,0,0,1294,0,1,2527,3730,1160,9,14,0,0,745,2884,332,0
1,72,ModelResultImpl,2436,2158,7647,11,7633,62,158,9,0,0,1403,0,1,2437,3790,1121,12,19,0,0,727,2728,296,0
1,73,ModelResultImpl,2436,2122,6465,14,6454,68,146,12,0,0,1110,0,1,1876,3265,914,12,19,0,0,671,2540,413,0
1,74,ModelResultImpl,2436,2181,7503,12,7496,77,152,10,0,0,1396,0,1,2475,3675,1095,17,17,0,0,742,2765,345,0
1,75,ModelResultImpl,2436,2755,6765,14,6753,68,143,9,0,0,1165,0,2,1854,3399,942,12,14,0,0,716,2408,277,0
1,76,ModelResultImpl,2436,2208,6995,13,6986,54,139,9,0,0,1321,0,1,2271,3445,1003,13,17,0,0,700,2578,300,0
1,77,ModelResultImpl,2436,2155,13652,14,13640,66,282,16,0,0,2511,0,2,3579,6828,1908,14,23,0,0,1441,5046,570,0
1,78,ModelResultImpl,2436,2153,6910,12,6897,58,139,8,0,0,1172,0,2,2104,3490,1034,11,14,0,0,696,2453,262,0
1,79,ModelResultImpl,2436,2133,6576,10,6569,62,131,7,0,0,1155,0,1,2242,3311,880,11,12,0,0,692,2629,259,0
1,80,ModelResultImpl,2436,2107,6000,9,5990,63,132,10,0,0,1010,0,1,1891,3040,880,12,11,0,0,601,2328,373,0
1,81,ModelResultImpl,2436,2234,7024,14,7016,64,144,8,0,0,1232,0,1,2389,3511,1024,12,14,0,0,714,2704,303,0
1,82,ModelResultImpl,2436,2375,7166,14,7158,74,144,8,0,0,1276,0,1,2127,3549,985,18,22,0,0,773,2677,265,0
1,83,ModelResultImpl,2436,2081,7324,10,7316,62,146,9,0,0,1275,0,1,2463,3656,1144,11,12,0,0,694,2725,335,0
1,84,ModelResultImpl,2436,2113,6294,10,6285,58,130,8,0,0,1056,0,1,2282,3216,889,9,12,0,0,636,2505,273,0
1,85,ModelResultImpl,2436,2183,5660,12,5653,60,120,8,0,0,972,0,1,1624,2818,756,15,14,0,0,627,2223,280,0
1,86,ModelResultImpl,2436,2184,9069,9,9062,58,188,10,0,0,1648,0,1,3206,4670,1308,11,14,0,0,810,3517,358,0
1,87,ModelResultImpl,2436,2180,5831,10,5825,58,125,9,0,0,907,0,1,2054,3006,831,17,18,0,0,610,2309,281,0
1,88,ModelResultImpl,2436,2142,7243,11,7233,62,146,9,0,0,1285,0,2,2267,3620,1038,18,12,0,0,730,2716,268,0
1,89,ModelResultImpl,2436,2316,6986,13,6974,82,146,11,0,0,1193,0,1,2190,3548,1042,13,14,0,0,677,2553,341,0
1,90,ModelResultImpl,2436,2176,7202,9,7192,61,144,9,0,0,1234,0,1,2240,3693,1044,10,13,0,0,700,2538,272,0
1,91,ModelResultImpl,2436,2144,6845,10,6836,59,143,11,0,0,1112,0,1,2486,3508,1059,11,11,0,0,662,2661,402,0
1,92,ModelResultImpl,2436,2291,7195,10,7186,63,147,9,0,0,1260,0,1,2415,3753,1032,14,16,0,0,618,2841,318,0
1,93,ModelResultImpl,2436,2318,7516,14,7506,60,147,8,0,0,1239,0,1,2558,3846,1137,11,12,0,0,729,2939,270,0
1,94,ModelResultImpl,2436,2102,7173,11,7167,59,154,10,0,0,1264,0,2,2240,3618,1018,8,14,0,0,728,2758,363,0
1,95,ModelResultImpl,2436,2170,6642,11,6632,67,134,8,0,0,1169,0,1,2198,3321,943,9,13,0,0,688,2491,274,0
1,96,ModelResultImpl,2436,2289,7678,11,7669,73,160,11,0,0,1242,0,1,2521,3955,1099,21,24,0,0,765,2857,316,0
1,97,ModelResultImpl,2436,2079,8228,12,8220,67,164,7,0,0,1435,0,1,3043,4248,1151,12,15,0,0,777,3304,246,0
1,98,ModelResultImpl,2436,2065,6976,11,6967,59,140,9,0,0,1239,0,1,2465,3500,1037,11,13,0,0,683,2624,307,0
1,99,ModelResultImpl,2436,2095,7581,9,7574,63,151,8,0,0,1307,0,1,2458,3811,1105,15,14,0,0,784,2769,277,0
1,100,ModelResultImpl,2436,2164,6739,11,6729,70,138,10,0,0,1166,0,1,2144,3347,1029,11,11,0,0,684,2496,345,0

