Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,88
OutDegreeValue,1,2,3,4,5,6,8,10,11,13
OutDegreeCount,6,57,12,3,1,2,2,3,1,1
NAValue,1,2,3,4,5,6
NACount,1,3,6,56,20,2
MPCValue,0.00000,0.15918,0.18333,0.38400,0.76800,0.80000,0.88889,0.90000,0.90888,0.91349,0.91429,0.93061,0.93223,0.93728,1.00000
MPCCount,1,1,1,1,1,5,2,56,1,2,3,10,1,1,2
