Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
4,1,ModelResultImpl,10,1339,187225,43638100,184585,14565,8,8893,149868,0,0
4,2,ModelResultImpl,10,1336,258364,34407600,255655,14281,1,9835,217586,0,0
4,3,InsuficientResourcesResultImpl,10,1321,302464,3900,,14999,0,10218,258608,0,0
4,4,ModelResultImpl,10,1569,272300,28546600,269342,14187,0,9965,231046,0,0
4,5,ModelResultImpl,10,1315,244950,39639300,242286,14765,0,10575,202813,0,0
4,6,ModelResultImpl,10,1223,185629,34348900,183286,14074,0,9227,147910,0,0
4,7,ModelResultImpl,10,1271,243243,28619100,240866,16030,0,10594,199605,0,1
4,8,ModelResultImpl,10,1229,247712,31642900,244834,14393,0,9543,207278,0,0
4,9,ModelResultImpl,10,1284,209619,24479700,207199,18848,0,10225,164689,0,0
4,10,ModelResultImpl,10,1240,252740,36766100,250104,15959,0,10730,208822,0,1
4,11,ModelResultImpl,10,1315,192678,27966300,190097,15350,0,9230,152579,0,1
4,12,ModelResultImpl,10,1767,199644,24666200,195878,16171,0,9709,158015,0,1
4,13,ModelResultImpl,10,1411,209397,29226100,206486,17127,0,10334,164735,0,0
4,14,InsuficientResourcesResultImpl,10,1292,300133,800,,13558,0,10569,258303,0,0
4,15,ModelResultImpl,10,1188,277607,29611300,275175,13898,0,11204,234760,0,0
4,16,ModelResultImpl,10,1383,257815,41453700,255328,13012,0,10666,216491,0,1
4,17,ModelResultImpl,10,1335,217424,30586300,214754,15737,0,9889,176416,0,0
4,18,ModelResultImpl,10,1317,214706,28448000,211898,15332,0,9390,175241,0,1
4,19,ModelResultImpl,10,1429,235982,26350500,233087,15836,0,10258,192499,0,1
4,20,InsuficientResourcesResultImpl,10,1150,302957,1100,,16272,0,12639,253942,0,0

