Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
3,1,ModelResultImpl,7,1300,78258,16468500,75732,13071,7,4896,46003,0,2
3,2,ModelResultImpl,7,1255,72729,15062600,70201,10011,0,4148,48760,0,0
3,3,ModelResultImpl,7,1284,85751,18952400,83381,10015,0,4783,59452,0,0
3,4,ModelResultImpl,7,1312,80702,18255000,78055,9873,0,3766,56886,0,1
3,5,ModelResultImpl,7,2192,111362,20902300,108184,12705,0,5062,79232,0,0
3,6,ModelResultImpl,7,1275,88255,20727400,85645,9667,0,3925,64755,0,0
3,7,ModelResultImpl,7,1228,95312,23184200,92818,9763,0,4466,69648,0,1
3,8,ModelResultImpl,7,1421,102160,16746000,99564,13923,0,5149,68705,0,1
3,9,ModelResultImpl,7,1542,74130,15142300,71709,10116,0,4021,50574,0,0
3,10,ModelResultImpl,7,1370,106586,18544500,103524,11809,0,4614,78092,0,1
3,11,ModelResultImpl,7,1977,81554,14689300,78988,9059,0,4109,58293,0,1
3,12,ModelResultImpl,7,1282,80592,17114200,77924,10654,0,4120,55221,0,0
3,13,ModelResultImpl,7,1470,50749,14006900,47249,7112,0,2464,34560,0,0
3,14,ModelResultImpl,7,1189,96780,16081900,94561,8346,0,4262,74850,0,0
3,15,ModelResultImpl,7,1187,104866,17029000,102503,8484,0,4673,81148,0,0
3,16,ModelResultImpl,7,1192,83407,19208900,81122,8548,0,4154,61175,0,1
3,17,ModelResultImpl,7,1291,84064,18326300,81220,10675,0,4308,57616,0,0
3,18,ModelResultImpl,7,1924,92524,20324400,89145,9764,0,4238,66918,0,1
3,19,ModelResultImpl,7,1284,85575,14840500,82932,10403,0,4104,60536,0,0
3,20,ModelResultImpl,7,1239,78254,21057200,75918,9173,0,3958,55242,0,0

