Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,14,ModelResultImpl,1307,5640,206,21,196,(TransformationExecutionTime5|ForwardTime:70|Backtrackingtime:2|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,5,2,0,1,13,0,1,50,70,11,5,5,0,49,0,49,30,0
1,15,ModelResultImpl,1307,4625,231,20,214,(TransformationExecutionTime6|ForwardTime:77|Backtrackingtime:4|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),93,6,2,0,0,18,0,1,61,77,20,5,5,0,60,0,60,30,0
1,16,ModelResultImpl,1307,4858,219,17,209,(TransformationExecutionTime6|ForwardTime:79|Backtrackingtime:1|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),94,6,2,0,0,14,0,1,56,79,11,6,5,0,55,0,55,30,0
1,17,ModelResultImpl,1307,4678,211,21,198,(TransformationExecutionTime6|ForwardTime:73|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),90,6,2,0,0,14,0,1,56,73,13,5,4,0,55,0,55,30,0
1,18,ModelResultImpl,1307,5702,341,21,322,(TransformationExecutionTime11|ForwardTime:127|Backtrackingtime:6|GlobalConstraintEvaluationTime:9|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:3|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),129,11,3,0,0,25,0,3,70,127,26,9,6,0,69,0,69,30,0
1,19,ModelResultImpl,1307,6535,309,18,296,(TransformationExecutionTime8|ForwardTime:85|Backtrackingtime:0|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),172,8,3,0,0,10,0,2,44,85,13,7,8,0,43,0,43,30,0
1,20,ModelResultImpl,1307,4584,164,15,153,(TransformationExecutionTime4|ForwardTime:43|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,4,1,0,0,6,0,1,36,43,10,4,5,0,35,0,35,30,0
1,21,ModelResultImpl,1307,5547,236,19,226,(TransformationExecutionTime6|ForwardTime:60|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:13|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),133,6,2,0,0,6,0,1,32,60,10,6,13,0,31,0,31,30,0
1,22,ModelResultImpl,1307,5753,189,15,179,(TransformationExecutionTime4|ForwardTime:46|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),109,4,1,0,0,5,0,1,32,46,10,6,6,0,31,0,31,30,0
1,23,ModelResultImpl,1307,5971,209,21,198,(TransformationExecutionTime5|ForwardTime:67|Backtrackingtime:1|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),101,5,2,0,0,9,0,1,51,67,12,6,5,0,51,0,51,31,0
1,24,ModelResultImpl,1307,5750,230,16,218,(TransformationExecutionTime6|ForwardTime:73|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),110,6,2,0,0,11,0,1,55,73,13,6,5,0,54,0,54,30,0
