Meta Mode,yakindumm
Number of Edge types,9
Number Of Nodes,32
State Id,samplemodel62
OutDegreeValue,0,1,2,4,17
OutDegreeCount,6,12,10,3,1
NAValue,1,2,3,4
NACount,4,12,15,1
MPCValue,0.00000,0.50000,0.56250,0.61312,0.62284,0.63000,0.70312,0.75000,0.84375
MPCCount,4,1,11,1,1,3,7,3,1
Typed Out Degree
Commit committer,1,1,1,1,1,1,1,1,1,1
Issue pullrequest,1,1,1,1
Commit pullrequest,1
Project commits,10
PullRequest commit,1
Project projectMembers,2
IssueEvent user,1,1,1,1,1,1,1,1,1,1
Commit parents,1,1,1,1,1,1,1,1
Project issue,5
Issue issueevent,3,1,3,3
Node Type
Project,Commit,Issue,User,PullRequest,IssueEvent
0.03125,0.3125,0.15625,0.0625,0.125,0.3125
Edge Type
pullrequest,issue,committer,commit,commits,projectMembers,issueevent,user,parents
0.08196721311475409,0.08196721311475409,0.16393442622950818,0.01639344262295082,0.16393442622950818,0.03278688524590164,0.16393442622950818,0.16393442622950818,0.13114754098360656
violations,-1
