NA,Model,VS-WF+All5-38,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All5-39,1.00000,2.00000,3.00000,3.00000,4.00000
NA,Model,VS-WF+All5-4,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-40,4.00000,2.00000,1.00000,1.00000,5.00000
NA,Model,VS-WF+All5-41,1.00000,4.00000,2.00000,3.00000,3.00000
NA,Model,VS-WF+All5-42,3.00000,1.00000,4.00000,3.00000,2.00000
NA,Model,VS-WF+All5-43,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All5-44,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-45,2.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All5-46,4.00000,2.00000,1.00000,1.00000,5.00000
NA,Model,VS-WF+All5-47,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All5-48,2.00000,5.00000,4.00000,1.00000,1.00000
NA,Model,VS-WF+All5-49,1.00000,1.00000,1.00000,2.00000,2.00000
NA,Model,VS-WF+All5-5,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All5-50,2.00000,1.00000,3.00000,4.00000,3.00000
NA,Model,VS-WF+All5-51,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All5-52,1.00000,2.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All5-53,2.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All5-54,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All5-55,1.00000,4.00000,2.00000,5.00000,1.00000
NA,Model,VS-WF+All5-56,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-57,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All5-58,3.00000,4.00000,1.00000,2.00000,3.00000
NA,Model,VS-WF+All5-59,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-6,1.00000,3.00000,2.00000,3.00000,4.00000
NA,Model,VS-WF+All5-60,1.00000,2.00000,3.00000,3.00000,4.00000
NA,Model,VS-WF+All5-61,1.00000,2.00000,5.00000,4.00000,1.00000
NA,Model,VS-WF+All5-62,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-63,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All5-64,1.00000,1.00000,2.00000,1.00000,2.00000
NA,Model,VS-WF+All5-65,4.00000,1.00000,2.00000,1.00000,5.00000
NA,Model,VS-WF+All5-66,2.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All5-67,4.00000,2.00000,3.00000,3.00000,1.00000
NA,Model,VS-WF+All5-68,5.00000,2.00000,1.00000,1.00000,4.00000
