NA,Model,VS+i-run1/1_24,5.00000,1.00000,5.00000,1.00000,1.00000,4.00000,4.00000,4.00000,4.00000,4.00000,1.00000,1.00000,1.00000,1.00000,2.00000,1.00000,5.00000,3.00000,1.00000,2.00000,6.00000,2.00000,1.00000,2.00000,2.00000,1.00000,1.00000,4.00000,1.00000,2.00000
NA,Model,VS+i-run1/1_25,4.00000,4.00000,2.00000,1.00000,1.00000,1.00000,4.00000,2.00000,1.00000,1.00000,5.00000,1.00000,4.00000,4.00000,3.00000,2.00000,1.00000,3.00000,4.00000,4.00000,4.00000,5.00000,3.00000,1.00000,2.00000,5.00000,1.00000,3.00000,4.00000,1.00000
NA,Model,VS+i-run1/1_26,1.00000,1.00000,1.00000,3.00000,3.00000,4.00000,1.00000,2.00000,4.00000,2.00000,1.00000,4.00000,1.00000,4.00000,5.00000,5.00000,4.00000,1.00000,1.00000,2.00000,2.00000,3.00000,4.00000,4.00000,1.00000,4.00000,1.00000,4.00000,5.00000,3.00000
NA,Model,VS+i-run1/1_27,1.00000,4.00000,5.00000,1.00000,1.00000,1.00000,4.00000,1.00000,2.00000,3.00000,3.00000,4.00000,1.00000,1.00000,1.00000,4.00000,1.00000,4.00000,2.00000,1.00000,3.00000,4.00000,2.00000,5.00000,1.00000,4.00000,4.00000,4.00000,2.00000,5.00000
NA,Model,VS+i-run1/1_28,4.00000,2.00000,4.00000,2.00000,3.00000,5.00000,1.00000,4.00000,1.00000,5.00000,1.00000,1.00000,1.00000,2.00000,3.00000,3.00000,4.00000,4.00000,1.00000,1.00000,1.00000,4.00000,4.00000,2.00000,3.00000,5.00000,1.00000,1.00000,4.00000,4.00000
NA,Model,VS+i-run1/1_29,1.00000,5.00000,3.00000,2.00000,4.00000,1.00000,1.00000,5.00000,2.00000,1.00000,2.00000,1.00000,1.00000,3.00000,4.00000,4.00000,5.00000,4.00000,4.00000,3.00000,4.00000,4.00000,1.00000,3.00000,4.00000,2.00000,1.00000,4.00000,1.00000,1.00000
NA,Model,VS+i-run1/1_3,1.00000,4.00000,4.00000,1.00000,4.00000,4.00000,1.00000,4.00000,1.00000,3.00000,2.00000,2.00000,5.00000,1.00000,1.00000,1.00000,4.00000,4.00000,2.00000,1.00000,1.00000,3.00000,2.00000,3.00000,2.00000,1.00000,1.00000,1.00000,1.00000,5.00000
NA,Model,VS+i-run1/1_30,2.00000,3.00000,1.00000,1.00000,4.00000,1.00000,1.00000,4.00000,2.00000,1.00000,4.00000,3.00000,4.00000,1.00000,2.00000,1.00000,1.00000,5.00000,4.00000,1.00000,4.00000,4.00000,5.00000,1.00000,1.00000,3.00000,4.00000,2.00000,5.00000,4.00000
NA,Model,VS+i-run1/1_4,4.00000,3.00000,4.00000,4.00000,1.00000,2.00000,4.00000,2.00000,4.00000,4.00000,1.00000,3.00000,1.00000,1.00000,4.00000,5.00000,2.00000,1.00000,5.00000,2.00000,3.00000,3.00000,4.00000,3.00000,1.00000,1.00000,1.00000,3.00000,1.00000,4.00000
NA,Model,VS+i-run1/1_5,3.00000,4.00000,3.00000,3.00000,4.00000,2.00000,5.00000,1.00000,1.00000,1.00000,1.00000,4.00000,1.00000,5.00000,5.00000,1.00000,1.00000,1.00000,3.00000,4.00000,4.00000,4.00000,4.00000,1.00000,1.00000,2.00000,2.00000,4.00000,2.00000,4.00000
NA,Model,VS+i-run1/1_6,1.00000,4.00000,2.00000,3.00000,3.00000,5.00000,4.00000,4.00000,4.00000,1.00000,4.00000,2.00000,4.00000,1.00000,6.00000,4.00000,1.00000,1.00000,1.00000,4.00000,3.00000,1.00000,2.00000,1.00000,1.00000,3.00000,5.00000,3.00000,2.00000,1.00000
NA,Model,VS+i-run1/1_7,1.00000,2.00000,4.00000,5.00000,5.00000,1.00000,3.00000,3.00000,1.00000,2.00000,1.00000,4.00000,1.00000,1.00000,3.00000,4.00000,4.00000,4.00000,4.00000,3.00000,4.00000,2.00000,1.00000,1.00000,2.00000,4.00000,1.00000,4.00000,3.00000,1.00000
NA,Model,VS+i-run1/1_8,3.00000,1.00000,4.00000,4.00000,3.00000,1.00000,4.00000,4.00000,4.00000,3.00000,3.00000,1.00000,6.00000,3.00000,2.00000,1.00000,3.00000,4.00000,4.00000,4.00000,3.00000,1.00000,2.00000,5.00000,2.00000,3.00000,1.00000,4.00000,3.00000,1.00000
NA,Model,VS+i-run1/1_9,3.00000,1.00000,3.00000,1.00000,1.00000,4.00000,1.00000,4.00000,3.00000,3.00000,4.00000,2.00000,3.00000,1.00000,4.00000,1.00000,4.00000,4.00000,4.00000,2.00000,5.00000,3.00000,1.00000,2.00000,4.00000,5.00000,2.00000,4.00000,1.00000,1.00000
NA,Model,VS+i-run10/10_1,6.00000,4.00000,4.00000,3.00000,1.00000,4.00000,4.00000,1.00000,5.00000,4.00000,1.00000,1.00000,5.00000,4.00000,3.00000,1.00000,4.00000,1.00000,2.00000,1.00000,4.00000,1.00000,2.00000,5.00000,2.00000,5.00000,2.00000,1.00000,3.00000,1.00000
NA,Model,VS+i-run10/10_10,5.00000,3.00000,1.00000,5.00000,1.00000,5.00000,2.00000,4.00000,4.00000,6.00000,4.00000,2.00000,1.00000,2.00000,3.00000,4.00000,1.00000,3.00000,4.00000,1.00000,1.00000,2.00000,4.00000,1.00000,4.00000,1.00000,1.00000,4.00000,1.00000,5.00000
NA,Model,VS+i-run10/10_11,4.00000,1.00000,1.00000,1.00000,1.00000,2.00000,3.00000,1.00000,2.00000,5.00000,1.00000,4.00000,5.00000,4.00000,4.00000,4.00000,4.00000,1.00000,6.00000,5.00000,5.00000,2.00000,4.00000,3.00000,4.00000,4.00000,2.00000,1.00000,1.00000,5.00000
NA,Model,VS+i-run10/10_12,2.00000,1.00000,1.00000,1.00000,4.00000,1.00000,4.00000,1.00000,4.00000,1.00000,5.00000,4.00000,4.00000,1.00000,5.00000,4.00000,4.00000,3.00000,3.00000,2.00000,1.00000,3.00000,1.00000,2.00000,4.00000,5.00000,4.00000,2.00000,5.00000,6.00000
NA,Model,VS+i-run10/10_13,4.00000,4.00000,5.00000,4.00000,4.00000,4.00000,5.00000,2.00000,1.00000,1.00000,4.00000,5.00000,4.00000,6.00000,1.00000,1.00000,4.00000,3.00000,4.00000,2.00000,1.00000,3.00000,5.00000,2.00000,3.00000,1.00000,3.00000,1.00000,2.00000,3.00000
NA,Model,VS+i-run10/10_14,3.00000,1.00000,4.00000,4.00000,1.00000,3.00000,5.00000,4.00000,2.00000,5.00000,4.00000,3.00000,4.00000,4.00000,4.00000,2.00000,4.00000,1.00000,2.00000,5.00000,2.00000,1.00000,3.00000,1.00000,1.00000,6.00000,4.00000,5.00000,1.00000,1.00000
NA,Model,VS+i-run10/10_15,1.00000,1.00000,1.00000,4.00000,1.00000,2.00000,4.00000,1.00000,1.00000,2.00000,1.00000,5.00000,5.00000,5.00000,4.00000,2.00000,2.00000,1.00000,3.00000,1.00000,6.00000,1.00000,4.00000,4.00000,4.00000,3.00000,4.00000,4.00000,5.00000,3.00000
NA,Model,VS+i-run10/10_16,1.00000,4.00000,5.00000,3.00000,4.00000,4.00000,3.00000,4.00000,1.00000,4.00000,1.00000,2.00000,4.00000,1.00000,3.00000,4.00000,2.00000,1.00000,5.00000,5.00000,5.00000,1.00000,2.00000,2.00000,1.00000,4.00000,5.00000,1.00000,4.00000,6.00000
