Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,67
OutDegreeValue,1,2,3,4,6,8,9
OutDegreeCount,4,45,9,1,1,2,5
NAValue,1,2,3,4,5,6
NACount,1,3,4,42,15,2
MPCValue,0.00000,0.21600,0.45000,0.76800,0.80000,0.89751,0.90000,0.91349,0.92410,0.93061,0.93728,0.96000,0.97500,1.00000
MPCCount,1,2,1,1,3,1,42,2,2,7,1,2,1,1
