Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
4,1,ModelResultImpl,20,2105,122193,47975800,120819,22172,21,3111,81933,0,0
4,2,ModelResultImpl,20,948,71430,38366700,70718,10799,0,1803,49089,0,0
4,3,ModelResultImpl,20,907,71011,42371700,70320,12614,0,1751,47228,0,0
4,4,ModelResultImpl,20,888,57574,43253600,56870,10097,0,1721,37819,0,0
4,5,ModelResultImpl,20,918,50961,39099900,50235,9718,0,1667,31881,0,0
4,6,ModelResultImpl,20,929,54262,48948700,53554,10095,0,1701,35294,0,0
4,7,ModelResultImpl,20,914,69271,42306400,68596,12610,0,1788,45775,0,0
4,8,ModelResultImpl,20,887,58304,42858800,57604,10861,0,1641,37653,0,0
4,9,ModelResultImpl,20,923,61436,40388600,60755,11478,0,1812,38983,0,0
4,10,ModelResultImpl,20,950,51010,44099800,50294,11361,0,1496,30951,0,1
4,11,ModelResultImpl,20,879,56153,40079800,55455,11776,0,1587,35227,0,0
4,12,ModelResultImpl,20,939,55164,41385200,54450,9786,0,1675,35778,0,0
4,13,ModelResultImpl,20,947,59424,49539400,58684,10955,0,1776,38126,0,0
4,14,ModelResultImpl,20,973,61843,36537600,61086,10883,0,1685,40830,0,0
4,15,ModelResultImpl,20,867,54362,38663100,53666,10015,0,1611,35234,0,0
4,16,ModelResultImpl,20,915,108777,49507000,108033,20987,0,2938,71959,0,1
4,17,ModelResultImpl,20,922,55218,41448600,54548,9665,0,1657,36387,0,0
4,18,ModelResultImpl,20,921,57210,60622400,56526,10429,0,1747,36425,0,0
4,19,ModelResultImpl,20,911,70900,47211300,70230,11669,0,1714,48547,0,0
4,20,ModelResultImpl,20,887,74363,36468500,73658,12552,0,1800,50208,0,0

