Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
2,1,ModelResultImpl,11,1049,149253,202983100,148329,21687,8,3820,108113,0,4
2,2,ModelResultImpl,11,1131,173214,111640800,172206,24930,0,3926,128120,0,1
2,3,ModelResultImpl,11,1027,157782,120804000,157006,19292,0,3948,119012,0,1
2,4,ModelResultImpl,11,1063,169577,126195200,168692,22819,0,4027,126643,0,1
2,5,ModelResultImpl,11,984,164004,93016300,163235,23449,0,3830,121474,0,1
2,6,ModelResultImpl,11,1005,146874,94077300,146111,20382,0,3734,108542,0,1
2,7,ModelResultImpl,11,904,148997,92734800,148172,19769,0,3763,111141,0,1
2,8,ModelResultImpl,11,911,145947,99103000,145197,21375,0,3757,106317,0,1
2,9,ModelResultImpl,11,911,154022,91420700,153225,21687,0,3781,113566,0,1
2,10,ModelResultImpl,11,994,144253,105623000,143479,19514,0,3736,106547,0,1
2,11,ModelResultImpl,11,943,146057,85565700,145235,20168,0,3830,107696,0,1
2,12,ModelResultImpl,11,933,153728,93877000,152956,18549,0,4136,115265,0,0
2,13,ModelResultImpl,11,989,135785,101796800,135043,19930,0,3590,98576,0,1
2,14,ModelResultImpl,11,942,158905,115031700,158150,21663,0,3796,118239,0,0
2,15,ModelResultImpl,11,897,138727,116266900,137918,19116,1,3652,102641,0,0
2,16,ModelResultImpl,11,851,145221,95232500,144453,18026,0,3913,108945,0,0
2,17,ModelResultImpl,11,928,154148,88476300,153396,21053,0,3827,113763,0,0
2,18,ModelResultImpl,11,859,166408,95546600,165666,22619,0,3922,123707,0,1
2,19,ModelResultImpl,11,909,136564,91353600,135766,17841,0,3665,101835,0,0
2,20,ModelResultImpl,11,873,147664,91153300,146866,17705,0,3874,111410,0,0

