Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
5,1,ModelResultImpl,12,865,91787,64960700,91078,17340,6,2469,61497,0,3
5,2,ModelResultImpl,12,956,118267,65616400,117553,16353,0,2810,85627,0,1
5,3,ModelResultImpl,12,900,116093,69616600,115364,17281,0,2800,82376,0,0
5,4,ModelResultImpl,12,907,96027,78796000,95287,19233,0,2643,63089,0,0
5,5,ModelResultImpl,12,961,133615,61595600,132840,17098,0,2970,99041,0,0
5,6,ModelResultImpl,12,917,120673,61159000,119930,18320,0,2889,85737,0,0
5,7,ModelResultImpl,12,941,101988,69310400,101183,18258,0,2694,69616,0,0
5,8,ModelResultImpl,12,910,117121,58731900,116373,16751,0,2954,83990,0,1
5,9,ModelResultImpl,12,939,98738,60204200,97988,15671,0,2643,69051,0,0
5,10,ModelResultImpl,12,907,109216,62901700,108450,18563,0,2855,74361,0,0
5,11,ModelResultImpl,12,989,101313,70288400,100570,19059,0,2653,68951,0,0
5,12,ModelResultImpl,12,847,110986,71960700,110229,20031,0,2484,77376,0,0
5,13,ModelResultImpl,12,924,99847,65101400,99083,18276,0,2732,67006,0,0
5,14,ModelResultImpl,12,908,113484,61073000,112675,20588,0,2760,77595,0,0
5,15,ModelResultImpl,12,859,107243,118083900,106494,16814,0,2826,74774,0,0
5,16,ModelResultImpl,12,896,101005,60113300,100198,16591,0,2670,70482,0,0
5,17,ModelResultImpl,12,909,150888,90178000,150032,18804,0,3644,112370,0,2
5,18,ModelResultImpl,12,1988,224882,111051700,223272,35288,0,5245,160716,0,2
5,19,ModelResultImpl,12,1710,180301,103042800,178853,31026,0,4421,125609,0,1
5,20,ModelResultImpl,12,2294,236789,120962500,234776,34043,0,4964,172403,0,1

