Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
2,1,ModelResultImpl,37,1267,42409,28515700,41220,5066,11,614,29095,0,1
2,2,ModelResultImpl,37,1919,14164,22580700,12518,3986,2,344,5463,0,2
2,3,ModelResultImpl,37,1916,41597,31164300,40290,5050,1,614,28209,0,1
2,4,ModelResultImpl,37,2023,41518,20216100,40199,5825,0,549,27332,0,1
2,5,ModelResultImpl,37,2052,21630,32282400,20128,4713,0,456,10817,0,1
2,6,ModelResultImpl,37,2070,40984,24514000,39602,5997,0,528,26649,0,2
2,7,ModelResultImpl,37,2249,40677,22780300,39309,4977,0,600,27410,0,1
2,8,ModelResultImpl,37,1887,34102,17897400,32571,5103,0,524,21184,0,1
2,9,ModelResultImpl,37,1826,11685,12854100,10430,3316,0,298,4382,0,1
2,10,ModelResultImpl,37,1795,20933,19823700,19703,4431,0,435,10642,0,1
2,11,ModelResultImpl,37,1849,33111,18648500,31757,5743,0,375,20404,0,1
2,12,ModelResultImpl,37,1829,36099,18177300,34869,5689,0,525,22643,0,1
2,13,ModelResultImpl,37,1875,36431,20140100,35116,5371,0,500,23462,0,1
2,14,ModelResultImpl,37,1796,32322,24371800,31185,4939,0,493,20307,0,1
2,15,ModelResultImpl,37,1961,43764,24819800,42470,6248,0,593,27586,0,1
2,16,ModelResultImpl,37,1737,16231,16437300,14995,3805,0,388,7679,0,0
2,17,ModelResultImpl,37,1685,14223,36835700,12964,3783,0,338,6108,0,1
2,18,ModelResultImpl,37,1910,30550,21296200,29359,4813,0,517,18691,0,1
2,19,ModelResultImpl,37,1622,30723,17831800,29572,5299,0,560,18198,0,1
2,20,ModelResultImpl,37,1915,15410,15827800,14223,3856,0,353,7093,0,1

