Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
2,1,ModelResultImpl,5,753,17109,13399400,16654,1789,9,696,11984,0,0
2,2,ModelResultImpl,5,628,17801,12301800,17369,1678,0,715,12727,0,0
2,3,ModelResultImpl,5,610,15430,13989100,14970,1285,0,586,11377,0,0
2,4,ModelResultImpl,5,803,14781,11475500,14220,1483,0,640,10196,0,0
2,5,ModelResultImpl,5,581,22641,12669300,22193,1558,0,707,17778,0,0
2,6,ModelResultImpl,5,611,22649,11553300,22203,1508,0,660,17965,0,0
2,7,ModelResultImpl,5,548,12438,10128400,12033,1584,0,616,7995,0,0
2,8,ModelResultImpl,5,655,17624,10593200,17198,1404,0,619,13273,0,0
2,9,ModelResultImpl,5,596,16946,10102500,16528,1717,0,705,11847,0,0
2,10,ModelResultImpl,5,537,17896,10038000,17507,1414,0,626,13625,0,0
2,11,ModelResultImpl,5,535,13771,11741600,13353,1411,0,613,9547,0,0
2,12,ModelResultImpl,5,531,16728,11768600,16257,1448,0,635,12199,0,0
2,13,ModelResultImpl,5,549,14647,11546900,14254,1201,0,573,10920,0,0
2,14,ModelResultImpl,5,552,15942,10918300,15492,1502,0,610,11459,0,0
2,15,ModelResultImpl,5,563,15196,12483700,14773,1389,0,574,11130,0,0
2,16,ModelResultImpl,5,566,10267,10445100,9864,1364,0,523,6468,0,0
2,17,ModelResultImpl,5,600,15595,8099800,15147,1341,0,624,11381,0,0
2,18,ModelResultImpl,5,561,11172,9144100,10776,1167,0,487,7740,0,0
2,19,ModelResultImpl,5,548,14818,9372000,14441,1565,0,658,10261,0,0
2,20,ModelResultImpl,5,559,17497,9881500,17059,1532,0,651,12811,0,0

