Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,49,ModelResultImpl,1837,2405,7564,13,7549,68,162,7,0,0,1377,0,2,2016,3615,1036,8,11,0,0,817,2696,238,0
1,50,ModelResultImpl,1837,2207,7821,11,7812,65,167,8,0,0,1456,0,3,2500,3729,1100,12,14,0,0,824,2846,272,0
1,51,ModelResultImpl,1837,2222,7165,9,7156,61,135,6,0,0,1459,0,1,2287,3249,838,8,11,0,0,877,2879,200,0
1,52,ModelResultImpl,1837,2053,7991,8,7984,55,149,6,0,0,1623,0,1,2518,3645,982,10,12,0,0,937,3141,214,0
1,53,ModelResultImpl,1837,2225,8130,7,8122,63,169,8,0,0,1502,0,2,2657,3958,1117,15,20,0,0,824,3164,263,0
1,54,ModelResultImpl,1837,2131,7761,7,7753,69,152,7,0,0,1402,0,1,2033,3739,1014,9,11,0,0,906,3327,268,0
1,55,ModelResultImpl,1837,3913,9755,8,9741,92,209,9,0,0,1688,0,2,2517,4669,1409,15,18,0,0,1025,2895,231,0
1,56,ModelResultImpl,1837,2172,7846,11,7836,53,155,6,0,0,1530,0,2,2523,3687,992,12,13,0,0,835,3010,213,0
1,57,ModelResultImpl,1837,2329,7936,24,7913,73,161,10,0,0,1431,0,1,2383,3802,1098,11,13,0,0,808,2999,242,0
1,58,ModelResultImpl,1837,2806,6725,7,6717,79,136,7,0,0,1239,0,1,1901,3209,847,13,16,0,0,756,2855,241,0
1,59,ModelResultImpl,1837,1972,8194,10,8185,65,149,6,0,0,1590,0,2,3030,3850,1112,8,10,0,0,886,3387,230,0
1,60,ModelResultImpl,1837,1907,6172,8,6164,61,124,6,0,0,1182,0,1,2171,2924,787,7,9,0,0,697,2671,243,0
1,61,ModelResultImpl,1837,1929,7400,12,7391,63,138,6,0,0,1420,0,2,2342,3481,943,10,11,0,0,850,2980,233,0
1,62,ModelResultImpl,1837,1985,7669,10,7662,57,148,7,0,0,1416,0,1,2961,3731,1042,9,10,0,0,848,3309,290,0
1,63,ModelResultImpl,1837,2045,9181,10,9174,89,203,11,0,0,1759,0,1,2125,4390,1158,11,14,0,0,1002,2953,223,0
1,64,ModelResultImpl,1837,2467,12967,11,12950,98,279,11,0,0,2220,0,1,2297,6234,1958,15,17,0,0,1292,2781,247,0
1,65,ModelResultImpl,1837,2679,6673,7,6665,67,128,6,0,0,1280,0,1,2298,3116,815,10,13,0,0,784,2717,199,0
1,66,ModelResultImpl,1837,4230,8564,7,8557,110,190,8,0,0,1563,0,1,2508,4065,1120,23,25,0,0,926,3035,236,0
1,67,ModelResultImpl,1837,2004,6411,7,6402,76,125,7,0,0,1139,0,1,2236,3148,789,13,10,0,0,740,2802,245,0
1,68,ModelResultImpl,1837,2033,6886,11,6878,52,136,6,0,0,1276,0,1,2357,3298,921,11,8,0,0,756,2924,223,0
1,69,ModelResultImpl,1837,2106,11529,10,11518,55,290,11,0,0,2009,0,2,2614,5745,1722,11,11,0,0,1093,2962,253,0
1,70,ModelResultImpl,1837,2732,9237,9,9227,77,196,9,0,0,1651,0,1,2480,4450,1312,23,17,0,0,948,2829,243,0
1,71,ModelResultImpl,1837,2308,7444,6,7433,71,156,7,0,0,1313,0,1,1825,3583,973,10,17,0,0,855,2861,252,0
1,72,ModelResultImpl,1837,1950,10129,10,10121,63,205,8,0,0,1880,0,3,2784,4770,1425,11,13,0,0,1029,3327,240,0
1,73,ModelResultImpl,1837,2052,8735,58,8723,57,185,7,0,0,1587,0,1,2368,4237,1260,8,9,0,0,865,3017,244,0
1,74,ModelResultImpl,1837,2314,6782,6,6774,56,130,6,0,0,1277,0,1,2332,3219,857,11,13,0,0,759,2866,217,0
1,75,ModelResultImpl,1837,1937,8288,8,8278,56,155,7,0,0,1592,0,1,2691,3928,1103,12,10,0,0,881,3433,255,0
1,76,ModelResultImpl,1837,1949,6292,7,6280,54,124,6,0,0,1244,0,1,1977,2948,705,10,11,0,0,761,2718,204,0
1,77,ModelResultImpl,1837,2036,7303,7,7291,58,142,6,0,0,1372,0,1,2317,3420,948,11,9,0,0,848,2992,232,0
1,78,ModelResultImpl,1837,2116,7548,8,7539,61,147,8,0,0,1466,0,1,2739,3609,1011,9,11,0,0,810,3148,258,0
1,79,ModelResultImpl,1837,1914,7609,9,7600,56,140,6,0,0,1541,0,1,2988,3599,1012,11,11,0,0,795,3224,247,0
1,80,ModelResultImpl,1837,1975,7818,9,7809,68,152,7,0,0,1448,0,1,2403,3784,1089,9,9,0,0,818,3213,264,0
1,81,ModelResultImpl,1837,2005,7659,9,7651,53,145,6,0,0,1476,0,1,2342,3564,952,8,10,0,0,885,3211,238,0
1,82,ModelResultImpl,1837,2010,7084,7,7076,65,136,7,0,0,1352,0,1,2493,3332,896,14,13,0,0,822,2989,253,0
1,83,ModelResultImpl,1837,2199,6854,12,6844,56,141,8,0,0,1246,0,1,2272,3328,885,11,10,0,0,741,2768,227,0
1,84,ModelResultImpl,1837,2520,8156,8,8147,69,174,8,0,0,1484,0,1,2667,3934,1098,10,10,0,0,938,3217,266,0
1,85,ModelResultImpl,1837,3333,7368,7,7361,76,145,8,0,0,1375,0,2,2377,3553,990,15,11,0,0,799,3080,285,0
1,86,ModelResultImpl,1837,1947,7934,9,7921,56,160,7,0,0,1553,0,1,2234,3697,1031,7,9,0,0,914,3106,237,0
1,87,ModelResultImpl,1837,1944,7279,8,7269,61,147,8,0,0,1356,0,1,2349,3526,964,9,10,0,0,784,3028,272,0
1,88,ModelResultImpl,1837,2133,7005,6,6997,52,133,7,0,0,1266,0,1,2166,3398,919,14,9,0,0,817,3048,250,0
1,89,ModelResultImpl,1837,1830,7421,7,7414,49,130,7,0,0,1499,0,1,2643,3480,939,8,11,0,0,827,3284,248,0
1,90,ModelResultImpl,1837,1819,6537,9,6527,52,115,6,0,0,1334,0,1,2625,3066,816,8,8,0,0,726,2982,229,0
1,91,ModelResultImpl,1837,1872,5674,8,5666,48,112,7,0,0,1031,0,1,1999,2809,691,9,10,0,0,649,2818,273,0
1,92,ModelResultImpl,1837,1841,6782,9,6766,57,118,5,0,0,1443,0,1,2317,3056,810,9,8,0,0,805,2905,222,0
1,93,ModelResultImpl,1837,1816,7569,9,7561,46,132,6,0,0,1532,0,1,2694,3498,942,7,11,0,0,898,3259,217,0
1,94,ModelResultImpl,1837,1932,6539,8,6532,48,118,6,0,0,1224,0,1,2529,3191,847,11,10,0,0,697,3021,248,0
1,95,ModelResultImpl,1837,1776,6516,6,6509,47,118,6,0,0,1235,0,1,2213,3129,772,14,10,0,0,777,3020,226,0
1,96,ModelResultImpl,1837,1800,6836,8,6828,50,123,6,0,0,1307,0,1,2509,3300,867,8,9,0,0,760,3126,246,0
1,97,ModelResultImpl,1837,1909,6676,8,6667,62,122,7,0,0,1306,0,1,2625,3208,866,8,9,0,0,718,3035,262,0
1,98,ModelResultImpl,1837,1786,6203,8,6191,49,116,7,0,0,1157,0,1,2114,3032,815,8,9,0,0,682,2890,270,0
1,99,ModelResultImpl,1837,1762,7047,8,7040,55,127,7,0,0,1358,0,1,2875,3376,927,9,13,0,0,751,3246,259,0
1,100,ModelResultImpl,1837,1836,6691,7,6684,48,122,6,0,0,1262,0,1,2604,3290,871,10,10,0,0,693,3119,251,0

