NA,Model,VS-WF+All6-152,2.00000,3.00000,4.00000,5.00000,1.00000,4.00000
NA,Model,VS-WF+All6-153,1.00000,3.00000,3.00000,2.00000,1.00000,4.00000
NA,Model,VS-WF+All6-154,3.00000,4.00000,1.00000,2.00000,4.00000,3.00000
NA,Model,VS-WF+All6-155,2.00000,5.00000,4.00000,4.00000,5.00000,1.00000
NA,Model,VS-WF+All6-156,4.00000,1.00000,4.00000,2.00000,3.00000,5.00000
NA,Model,VS-WF+All6-157,4.00000,3.00000,5.00000,2.00000,1.00000,4.00000
NA,Model,VS-WF+All6-158,1.00000,2.00000,1.00000,4.00000,1.00000,6.00000
NA,Model,VS-WF+All6-159,4.00000,1.00000,1.00000,2.00000,6.00000,1.00000
NA,Model,VS-WF+All6-16,2.00000,1.00000,3.00000,1.00000,3.00000,4.00000
NA,Model,VS-WF+All6-160,1.00000,1.00000,6.00000,4.00000,2.00000,2.00000
NA,Model,VS-WF+All6-161,4.00000,5.00000,4.00000,2.00000,1.00000,5.00000
NA,Model,VS-WF+All6-162,2.00000,1.00000,4.00000,1.00000,1.00000,6.00000
NA,Model,VS-WF+All6-163,1.00000,4.00000,2.00000,6.00000,2.00000,1.00000
NA,Model,VS-WF+All6-164,4.00000,3.00000,2.00000,1.00000,3.00000,1.00000
NA,Model,VS-WF+All6-165,1.00000,4.00000,1.00000,2.00000,1.00000,6.00000
NA,Model,VS-WF+All6-166,2.00000,4.00000,1.00000,1.00000,1.00000,6.00000
NA,Model,VS-WF+All6-167,1.00000,1.00000,4.00000,2.00000,2.00000,6.00000
NA,Model,VS-WF+All6-168,1.00000,6.00000,2.00000,1.00000,4.00000,1.00000
NA,Model,VS-WF+All6-169,1.00000,6.00000,1.00000,2.00000,4.00000,2.00000
NA,Model,VS-WF+All6-17,1.00000,1.00000,2.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-170,1.00000,2.00000,1.00000,1.00000,6.00000,4.00000
